symbol,index,date
MRK,DIA,11/1/2006
MSFT,DIA,11/1/2006
MTLQQ,DIA,11/1/2006
PFE,DIA,11/1/2006
PG,DIA,11/1/2006
T,DIA,11/1/2006
UTX,DIA,11/1/2006
VZ,DIA,11/1/2006
WMT,DIA,11/1/2006
XOM,DIA,11/1/2006
AA,DIA,12/1/2006
AIG,DIA,12/1/2006
AXP,DIA,12/1/2006
BA,DIA,12/1/2006
C,DIA,12/1/2006
CAT,DIA,12/1/2006
DD,DIA,12/1/2006
DIS,DIA,12/1/2006
GE,DIA,12/1/2006
HD,DIA,12/1/2006
HON,DIA,12/1/2006
HPQ,DIA,12/1/2006
IBM,DIA,12/1/2006
INTC,DIA,12/1/2006
JNJ,DIA,12/1/2006
JPM,DIA,12/1/2006
KO,DIA,12/1/2006
MCD,DIA,12/1/2006
MMM,DIA,12/1/2006
MO,DIA,12/1/2006
MRK,DIA,12/1/2006
MSFT,DIA,12/1/2006
MTLQQ,DIA,12/1/2006
PFE,DIA,12/1/2006
PG,DIA,12/1/2006
T,DIA,12/1/2006
UTX,DIA,12/1/2006
VZ,DIA,12/1/2006
WMT,DIA,12/1/2006
XOM,DIA,12/1/2006
AA,DIA,1/3/2007
AIG,DIA,1/3/2007
AXP,DIA,1/3/2007
BA,DIA,1/3/2007
C,DIA,1/3/2007
CAT,DIA,1/3/2007
DD,DIA,1/3/2007
DIS,DIA,1/3/2007
GE,DIA,1/3/2007
HD,DIA,1/3/2007
HON,DIA,1/3/2007
HPQ,DIA,1/3/2007
IBM,DIA,1/3/2007
INTC,DIA,1/3/2007
JNJ,DIA,1/3/2007
JPM,DIA,1/3/2007
KO,DIA,1/3/2007
MCD,DIA,1/3/2007
MMM,DIA,1/3/2007
MO,DIA,1/3/2007
MRK,DIA,1/3/2007
MSFT,DIA,1/3/2007
MTLQQ,DIA,1/3/2007
PFE,DIA,1/3/2007
PG,DIA,1/3/2007
T,DIA,1/3/2007
UTX,DIA,1/3/2007
VZ,DIA,1/3/2007
WMT,DIA,1/3/2007
XOM,DIA,1/3/2007
AA,DIA,2/1/2007
AIG,DIA,2/1/2007
AXP,DIA,2/1/2007
BA,DIA,2/1/2007
C,DIA,2/1/2007
CAT,DIA,2/1/2007
DD,DIA,2/1/2007
DIS,DIA,2/1/2007
GE,DIA,2/1/2007
HD,DIA,2/1/2007
HON,DIA,2/1/2007
HPQ,DIA,2/1/2007
IBM,DIA,2/1/2007
INTC,DIA,2/1/2007
JNJ,DIA,2/1/2007
JPM,DIA,2/1/2007
KO,DIA,2/1/2007
MCD,DIA,2/1/2007
MMM,DIA,2/1/2007
MO,DIA,2/1/2007
MRK,DIA,2/1/2007
MSFT,DIA,2/1/2007
MTLQQ,DIA,2/1/2007
PFE,DIA,2/1/2007
PG,DIA,2/1/2007
T,DIA,2/1/2007
UTX,DIA,2/1/2007
VZ,DIA,2/1/2007
WMT,DIA,2/1/2007
XOM,DIA,2/1/2007
AA,DIA,3/1/2007
AIG,DIA,3/1/2007
AXP,DIA,3/1/2007
BA,DIA,3/1/2007
C,DIA,3/1/2007
CAT,DIA,3/1/2007
DD,DIA,3/1/2007
DIS,DIA,3/1/2007
GE,DIA,3/1/2007
HD,DIA,3/1/2007
HON,DIA,3/1/2007
HPQ,DIA,3/1/2007
IBM,DIA,3/1/2007
INTC,DIA,3/1/2007
JNJ,DIA,3/1/2007
JPM,DIA,3/1/2007
KO,DIA,3/1/2007
MCD,DIA,3/1/2007
MMM,DIA,3/1/2007
MO,DIA,3/1/2007
MRK,DIA,3/1/2007
MSFT,DIA,3/1/2007
MTLQQ,DIA,3/1/2007
PFE,DIA,3/1/2007
PG,DIA,3/1/2007
T,DIA,3/1/2007
UTX,DIA,3/1/2007
VZ,DIA,3/1/2007
WMT,DIA,3/1/2007
XOM,DIA,3/1/2007
AA,DIA,4/2/2007
AIG,DIA,4/2/2007
AXP,DIA,4/2/2007
BA,DIA,4/2/2007
C,DIA,4/2/2007
CAT,DIA,4/2/2007
DD,DIA,4/2/2007
DIS,DIA,4/2/2007
GE,DIA,4/2/2007
HD,DIA,4/2/2007
HON,DIA,4/2/2007
HPQ,DIA,4/2/2007
IBM,DIA,4/2/2007
INTC,DIA,4/2/2007
JNJ,DIA,4/2/2007
JPM,DIA,4/2/2007
KO,DIA,4/2/2007
MCD,DIA,4/2/2007
MMM,DIA,4/2/2007
MO,DIA,4/2/2007
MRK,DIA,4/2/2007
MSFT,DIA,4/2/2007
MTLQQ,DIA,4/2/2007
PFE,DIA,4/2/2007
PG,DIA,4/2/2007
T,DIA,4/2/2007
UTX,DIA,4/2/2007
VZ,DIA,4/2/2007
WMT,DIA,4/2/2007
XOM,DIA,4/2/2007
AA,DIA,5/1/2007
AIG,DIA,5/1/2007
AXP,DIA,5/1/2007
BA,DIA,5/1/2007
C,DIA,5/1/2007
CAT,DIA,5/1/2007
DD,DIA,5/1/2007
DIS,DIA,5/1/2007
GE,DIA,5/1/2007
HD,DIA,5/1/2007
HON,DIA,5/1/2007
HPQ,DIA,5/1/2007
IBM,DIA,5/1/2007
INTC,DIA,5/1/2007
JNJ,DIA,5/1/2007
JPM,DIA,5/1/2007
KO,DIA,5/1/2007
MCD,DIA,5/1/2007
MMM,DIA,5/1/2007
MO,DIA,5/1/2007
