AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,T,TRV,UNH,UTX,V,VZ,WMT,XOM,^DJI
85.989998,135.490005,88.16999799999999,21.0,121.599998,62.189999,72.199997,27.41,174.83999599999999,80.050003,178.699997,25.15,92.639999,57.240002000000004,40.02,95.93,135.800003,48.900002,36.580002,78.550003,30.77,82.379997,34.380001,88.139999,72.379997,109.809998,215.350006,48.470001,77.940002,99.540001,16167.969727000002
86.410004,135.169998,87.540001,21.07,123.220001,62.71,72.970001,27.32,174.770004,79.949997,180.220001,25.139999,91.980003,57.23,39.860001000000004,95.139999,136.41000400000001,48.790001000000004,36.25,78.260002,30.709999,81.900002,34.450001,88.790001,72.389999,109.5,216.080002,48.43,77.239998,99.43,16179.080078
87.57,136.669998,88.93,21.129998999999998,122.779999,62.55,72.400002,27.360001,175.16000400000001,80.040001,180.020004,25.059998999999998,92.089996,57.700001,40.040001000000004,96.510002,136.720001,49.32,36.799999,77.339996,30.25,81.839996,34.299999,89.18,73.349998,110.660004,215.97000099999997,48.080002,77.43,98.68,16221.139647999998
88.309998,136.399994,89.959999,21.57,122.800003,62.739998,73.279999,27.4,176.470001,80.559998,182.229996,25.32,92.029999,58.240002000000004,40.16,96.300003,136.800003,49.360001000000004,36.619999,77.110001,30.35,81.309998,34.689999,89.160004,74.349998,110.82,218.02999900000003,48.580002,77.870003,98.510002,16294.610352000002
88.690002,136.830002,90.910004,21.690001000000002,123.510002,63.829997,73.849998,27.610001,176.16000400000001,80.639999,183.220001,25.43,92.059998,58.25,40.189999,96.540001,136.990005,49.41,37.080002,77.660004,30.290001,81.309998,34.950001,89.489998,74.129997,111.470001,218.729996,48.98,78.010002,99.220001,16357.549805
89.0,138.270004,91.150002,21.799999,124.809998,64.249998,74.620003,27.83,176.449997,81.550003,185.350006,25.700001,92.540001,58.200001,40.490002000000004,96.839996,138.28999299999998,49.720001,37.439999,78.190002,30.549999,81.760002,35.16,90.010002,74.849998,112.690002,220.19999700000002,49.18,78.389999,100.900002,16479.880859
89.190002,136.899994,90.870003,22.02,125.230003,64.249998,74.349998,27.83,176.350006,81.639999,185.080002,25.6,92.349998,58.139998999999996,40.66,96.910004,139.350006,49.790001000000004,37.290001000000004,78.160004,30.639999,82.010002,35.18,89.849998,74.690002,112.800003,219.669998,49.169998,78.470001,101.510002,16478.410156
89.589996,135.919998,90.870003,22.25,124.230003,64.649998,76.230003,27.889999,175.729996,81.940002,186.41000400000001,25.85,92.300003,57.950001,41.09,97.010002,139.419998,49.939999,37.290001000000004,78.739998,30.690001000000002,82.0,35.200001,90.279999,74.779999,112.730003,220.91000400000001,49.150002,78.629997,100.309998,16504.289062
90.730003,136.490005,90.809998,22.43,124.910004,64.969999,76.400002,28.030001000000002,177.259995,82.339996,187.570007,25.959999,91.589996,58.48,41.310001,97.029999,140.25,50.049999,37.41,78.639999,30.629998999999998,81.410004,35.16,90.540001,75.300003,113.800003,222.67999300000002,49.139998999999996,78.690002,101.199997,16576.660156
89.449997,136.669998,89.870003,22.0,124.139999,63.709996999999994,76.269997,27.5,176.889999,82.019997,185.529999,25.790001,91.029999,58.209998999999996,40.66,96.410004,138.130005,49.490002000000004,37.16,78.239998,30.459999,80.540001,34.950001,89.33000200000001,74.57,112.489998,221.00999500000003,49.0,78.910004,99.75,16441.349609
89.739998,137.619995,89.82,21.98,124.349998,63.779999,76.110001,27.48,178.149994,81.889999,186.639999,25.780001000000002,91.849998,58.66,40.459998999999996,96.540001,138.449997,49.73,36.91,78.029999,30.52,80.449997,34.799999,89.160004,75.099998,112.900002,221.16000400000001,48.419998,78.650002,99.510002,16469.990234
89.699997,138.41000400000001,88.639999,22.01,124.019997,62.959998,75.82,27.26,179.369995,81.099998,186.0,25.459999,92.33000200000001,59.0,40.27,95.849998,137.630005,49.740002000000004,36.130001,77.43,30.549999,80.639999,34.959998999999996,88.91999799999999,74.239998,112.790001,219.830002,48.689999,78.209999,99.660004,16425.099609
89.360001,140.509995,88.93,22.309998999999998,125.07,62.329999,76.339996,27.290001,178.28999299999998,81.5,189.71000700000002,25.59,94.290001,58.32,40.389998999999996,96.379997,137.649994,50.110001000000004,36.41,77.489998,30.74,81.41999799999999,34.950001,88.400002,76.510002,113.510002,221.50999500000003,49.299999,78.449997,101.07,16530.939453
89.410004,140.820007,89.139999,22.290001,123.290001,63.13,75.220001,27.209999,178.440002,81.93,187.970001,25.43,94.160004,58.869999,39.939999,95.410004,136.630005,49.790001000000004,35.759997999999996,77.089996,30.950001,80.239998,34.240002000000004,87.58000200000001,75.620003,113.650002,222.22000099999997,48.5,77.83000200000001,100.739998,16462.740234
88.879997,142.130005,89.709999,22.09,123.290001,63.939999,74.900002,27.219998999999998,177.399994,81.57,187.380005,25.309998999999998,94.730003,58.759997999999996,39.73,95.459999,136.449997,49.52,35.529999,77.089996,30.93,80.41999799999999,33.540001000000004,87.68,76.08000200000001,113.709999,221.91000400000001,47.5,78.089996,99.760002,16444.759766
