AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM,^DJI
127.300003,80.32,143.429993,87.25,28.93,99.760002,69.489997,111.489998,27.27,212.92999300000002,110.470001,167.169998,31.950001,98.730003,68.139999,40.27,95.220001,156.949997,57.91,45.970001,104.75,33.98,80.08000200000001,99.779999,119.739998,115.07,68.75,47.27,72.730003,84.730003,17935.740234
127.879997,80.769997,145.380005,87.440002,29.209999,100.25,70.150002,113.220001,27.370001000000002,214.600006,111.849998,168.25,32.380001,100.360001,68.779999,40.650002,96.16999799999999,159.619995,58.59,46.720001,106.0,34.369999,80.82,101.470001,120.889999,115.900002,69.5,47.77,72.980003,85.480003,18115.839844
126.599998,80.190002,145.130005,87.519997,29.030001000000002,99.470001,69.839995,112.620003,27.24,213.190002,112.43,166.990005,32.07,99.860001,68.08000200000001,40.400002,96.08000200000001,158.949997,58.040001000000004,46.099998,106.529999,34.18,80.540001,99.449997,120.33000200000001,114.889999,68.690002,47.459998999999996,72.739998,85.209999,18015.949219
127.610001,81.25,145.699997,88.269997,28.940001000000002,100.290001,69.990001,113.529999,27.42,216.50999500000003,113.07,167.729996,32.259997999999996,100.089996,68.959999,40.48,96.870003,159.679993,58.830002,46.23,106.790001,34.310001,80.449997,100.040001,120.25,115.279999,69.089996,47.529999,72.790001,85.16999799999999,18119.779297
127.029999,81.360001,144.429993,88.449997,28.790001,100.089996,68.499997,114.410004,27.549999,218.399994,113.18,168.619995,32.09,99.779999,69.75,40.380001,97.18,159.83999599999999,59.029999,45.91,107.199997,34.5,79.790001,100.0,122.739998,115.230003,69.41999799999999,47.77,72.57,85.07,18144.070312
128.110001,80.739998,143.0,88.16999799999999,28.51,99.269997,66.199998,113.769997,27.26,214.42999300000002,112.349998,166.970001,31.91,99.33000200000001,69.019997,40.189999,96.639999,157.53999299999998,58.240002000000004,45.639998999999996,106.220001,34.23,79.510002,98.779999,119.16999799999999,113.970001,68.860001,47.290001000000004,72.379997,84.68,17966.070312
127.5,79.879997,142.449997,86.720001,28.4,98.339996,66.15,114.449997,27.040001,212.82000699999998,112.239998,166.080002,31.99,99.120003,68.650002,40.02,95.790001,155.919998,57.900002,45.650002,105.220001,34.02,79.389999,97.809998,122.33000200000001,113.300003,68.620003,47.439999,71.860001,83.93,17890.359375
126.75,79.879997,142.479996,86.82,28.280001000000002,98.599998,65.599998,114.989998,27.09,213.169998,112.599998,165.46000700000002,31.02,99.639999,68.949997,40.0,97.290001,157.08999599999999,58.490002000000004,45.259997999999996,109.709999,33.919998,79.339996,97.91999799999999,123.25,113.519997,68.75,47.619999,72.120003,83.860001,17946.679688
124.529999,77.800003,138.729996,85.300003,27.540001,96.690002,63.639998999999996,113.050003,26.639999,207.649994,110.540001,162.970001,30.389999,97.68,67.199997,39.400002,95.440002,153.949997,57.290001000000004,44.369999,107.66999799999999,33.59,78.32,96.139999,121.190002,111.529999,66.720001,46.77,71.41999799999999,82.82,17596.349609
125.43,77.720001,138.720001,84.82,27.459999,96.470001,63.949996999999996,114.139999,26.57,208.78999299999998,111.129997,162.66000400000001,30.42,97.459999,67.760002,39.23,95.07,154.300003,56.93,44.150002,108.019997,33.529999,78.239998,96.660004,122.0,110.93,67.150002,46.610001000000004,70.93,83.199997,17619.509766
126.599998,78.400002,140.729996,83.949997,27.35,96.089996,61.43,115.129997,26.66,209.940002,112.07,164.490005,30.18,98.470001,68.07,39.5,95.760002,155.649994,57.599998,44.450001,109.43,33.689999,79.720001,99.300003,123.379997,110.82,67.849998,47.0,71.879997,82.370003,17757.910156
